Family	Size	i_minus2	i_minus1	i_0	i_plus1	i_plus2	i_plus3	Peak position
Qwen3	0.6B	L20: 0.09 [0.00, 0.21]	L26: 0.07 [0.00, 0.21]	L14: 0.07 [0.01, 0.16]	L14: 0.06 [0.00, 0.14]	L0: 0.06 [0.01, 0.11]	L13: 0.08 [0.00, 0.22]	i_minus2
Qwen3	1.7B	L24: 0.04 [0.00, 0.12]	L1: 0.21 [0.07, 0.35]	L19: 0.04 [0.01, 0.07]	L0: 0.04 [0.00, 0.12]	L6: 0.03 [0.00, 0.07]	L5: 0.04 [0.00, 0.12]	i_minus1
Qwen3	4B	L20: 0.08 [0.00, 0.22]	L5: 0.48 [0.25, 0.72]	L16: 0.07 [0.00, 0.21]	L27: 0.09 [0.00, 0.27]	L15: 0.08 [0.00, 0.24]	L27: 0.09 [0.00, 0.27]	i_minus1
Qwen3	8B	L13: 0.05 [0.00, 0.15]	L1: 0.54 [0.35, 0.72]	L12: 0.07 [0.00, 0.21]	L10: 0.05 [0.00, 0.15]	L24: 0.06 [0.00, 0.18]	L23: 0.06 [0.00, 0.18]	i_minus1
Qwen3	14B	L2: 0.02 [0.00, 0.04]	L11: 0.73 [0.46, 0.97]	L20: 0.05 [0.00, 0.15]	L13: 0.03 [0.00, 0.07]	L4: 0.02 [0.00, 0.04]	L25: 0.02 [0.00, 0.06]	i_minus1
Qwen3	32B	L25: 0.05 [0.00, 0.15]	L36: 0.74 [0.55, 0.93]	L15: 0.04 [0.00, 0.11]	L15: 0.04 [0.00, 0.11]	L13: 0.04 [0.00, 0.11]	L29: 0.04 [0.00, 0.11]	i_minus1
Gemma-3	1B	L10: 0.55 [0.27, 0.78]	L2: 0.07 [0.00, 0.17]	L1: 0.06 [0.00, 0.18]	L13: 0.08 [0.00, 0.22]	L13: 0.07 [0.00, 0.21]	L25: 0.07 [0.00, 0.21]	i_minus2
Gemma-3	4B	L25: 0.93 [0.87, 0.99]	L0: 0.00 [0.00, 0.00]	L0: 0.00 [0.00, 0.00]	L0: 0.00 [0.00, 0.00]	L0: 0.00 [0.00, 0.00]	L0: 0.00 [0.00, 0.00]	i_minus2
Gemma-3	12B	L3: 0.91 [0.81, 1.00]	L0: 0.00 [0.00, 0.00]	L0: 0.00 [0.00, 0.00]	L0: 0.00 [0.00, 0.00]	L0: 0.00 [0.00, 0.00]	L0: 0.00 [0.00, 0.00]	i_minus2
Gemma-3	27B	L6: 0.82 [0.48, 1.00]	L0: 0.00 [0.00, 0.00]	L33: 0.64 [0.45, 0.82]	L0: 0.00 [0.00, 0.00]	L0: 0.00 [0.00, 0.00]	L0: 0.00 [0.00, 0.00]	i_minus2
Llama-3	1B	L1: 0.02 [0.00, 0.06]	L9: 0.66 [0.37, 0.91]	L10: 0.03 [0.00, 0.09]	L0: 0.02 [0.00, 0.06]	L3: 0.02 [0.00, 0.06]	L4: 0.03 [0.00, 0.09]	i_minus1
Llama-3	3B	L0: 0.01 [0.00, 0.03]	L8: 0.91 [0.86, 0.96]	L3: 0.01 [0.00, 0.03]	L23: 0.03 [0.00, 0.09]	L24: 0.02 [0.00, 0.06]	L3: 0.01 [0.00, 0.03]	i_minus1
Llama-3	8B	L0: 0.00 [0.00, 0.00]	L0: 0.85 [0.73, 0.97]	L0: 0.00 [0.00, 0.00]	L0: 0.00 [0.00, 0.00]	L0: 0.00 [0.00, 0.00]	L26: 0.01 [0.00, 0.03]	i_minus1
